Bocas del Toro (4),,,"4,654.0","159,228",34.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Cirilo Guaynora  (cabecera),431.6,"2,520",5.8,,,,,,,,,,,,
,,Lajas Blancas,"1,651.1","5,161",3.1,,,,,,,,,,,,
,,Manuel Ortega,975.8,"1,866",1.9,,,,,,,,,,,,
,Sambú,,"1,307.0","2,811",2.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Río Sábalo,544.9,"2,226",4.1,,,,,,,,,,,,
,,Jingurudó,762.1,585,0.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comarca Ngäbe Buglé (23),,,"6,829.5","212,084",31.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Besiko,,753.2,"31,422",41.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Soloy   (cabecera),113.5,"6,569",57.9,,,,,,,,,,,,
,,Boca de Balsa,119.2,"3,096",26.0,,,,,,,,,,,,
,,Camarón Arriba,50.5,"4,341",85.9,,,,,,,,,,,,
,,Cerro Banco,109.8,"4,869",44.4,,,,,,,,,,,,
,,Cerro de Patena,52.0,"2,014",38.8,,,,,,,,,,,,
,,Emplanada de Chorcha,145.2,"3,223",22.2,,,,,,,,,,,,
,,Nämnoni,28.2,"3,469",123.0,,,,,,,,,,,,
,,Niba,134.8,"3,841",28.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Mironó,,340.2,"21,800",64.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Hato Pilón  (cabecera),45.2,"3,794",84.0,,,,,,,,,,,,
,,Cascabel,123.4,"1,636",13.3,,,,,,,,,,,,
,,Hato Corotú,21.0,"2,543",121.0,,,,,,,,,,,,
,,Hato Culantro,67.8,"3,406",50.3,,,,,,,,,,,,
,,Hato Jobo,30.9,"2,326",75.3,,,,,,,,,,,,
,,Hato Julí,9.9,"2,237",225.5,,,,,,,,,,,,
,,Quebrada de Loro,14.5,"2,376",163.5,,,,,,,,,,,,
,,Salto Dupí,27.4,"3,482",126.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Müna,,799.5,"47,200",59.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Chichica   (cabecera),50.7,"3,470",68.5,,,,,,,,,,,,
,,Alto Caballero,19.4,"3,247",167.5,,,,,,,,,,,,
,,Bakama,11.7,"1,458",124.5,,,,,,,,,,,,
,,Cerro Caña,31.2,"3,109",99.5,,,,,,,,,,,,
,,Cerro Puerco,43.3,"5,310",122.5,,,,,,,,,,,,
,,Krüa,168.9,"2,901",17.2,,,,,,,,,,,,
,,Maraca,37.0,"3,795",102.5,,,,,,,,,,,,
,,Nibra,35.1,"2,530",72.0,,,,,,,,,,,,
,,Peña Blanca,103.1,"3,562",34.5,,,,,,,,,,,,
,,Roka,83.3,"3,204",38.4,,,,,,,,,,,,
,,Sitio Prado,52.1,"2,767",53.2,,,,,,,,,,,,
,,Ümani,23.8,"2,497",104.9,,,,,,,,,,,,
,,Dikeri (27),31.2,"2,521",80.7,,,,,,,,,,,,
,,Diko (27),42.0,"2,596",61.8,,,,,,,,,,,,
,,Kikari (27),13.5,"1,995",148.3,,,,,,,,,,,,
,,Mreeni (27),53.1,"2,238",42.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Nole Duima,,185.0,"20,709",111.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Cerro Iglesias   (cabecera),34.9,"5,773",165.6,,,,,,,,,,,,
,,Hato Chamí,50.1,"5,218",104.1,,,,,,,,,,,,
,,Jädaberi,66.5,"2,313",34.8,,,,,,,,,,,,
,,Lajero,11.7,"3,759",321.9,,,,,,,,,,,,
,,Susama,21.9,"3,646",166.6,,,,,,,,,,,,
,Ñürüm,,581.9,"17,637",30.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Buenos Aires  (cabecera),26.9,"1,177",43.7,,,,,,,,,,,,
,,Agua de Salud,69.9,"2,404",34.4,,,,,,,,,,,,
,,Alto de Jesús,27.5,920,33.5,,,,,,,,,,,,
,,Cerro Pelado,31.1,"3,278",105.3,,,,,,,,,,,,
,,El Bale,48.1,"1,009",21.0,,,,,,,,,,,,
,,El Paredón (6),117.7,"1,208",10.3,,,,,,,,,,,,
,,El Piro (6),4.8,802,167.9,,,,,,,,,,,,
,,Guayabito,59.3,"2,176",36.7,,,,,,,,,,,,
,,Güibale,98.0,"1,484",15.1,,,,,,,,,,,,
,,El Peñon (27),63.2,"1,901",30.1,,,,,,,,,,,,
,,El Piro No.2 (Muakwata Kubu) (27),35.3,"1,278",36.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Kankintú,,"1,044.5","19,751",18.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Bisira  (cabecera),208.6,"3,409",16.3,,,,,,,,,,,,
,,Guoroni,391.7,"3,609",9.2,,,,,,,,,,,,
,,Kankintú,102.0,"4,879",47.8,,,,,,,,,,,,
,,Mününi,85.8,"1,638",19.1,,,,,,,,,,,,
,,Piedra Roja,71.7,"2,962",41.3,,,,,,,,,,,,
,,Calante (29),88.6,958,10.8,,,,,,,,,,,,
,,Tolote (29),96.2,"2,296",23.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Kusapín,,843.4,"17,047",20.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Kusapín  (cabecera),22.5,"3,638",161.4,,,,,,,,,,,,
,,Bahía Azul,81.6,"4,226",51.8,,,,,,,,,,,,
,,Río Chiriquí,519.0,"3,836",7.4,,,,,,,,,,,,
,,Tobobe,90.6,"3,166",34.9,,,,,,,,,,,,
,,Cañaveral (29),129.6,"2,181",16.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Jirondai (29),,"1,379.0","25,804",18.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Samboa (cabecera) (29),203.9,"3,854",18.9,,,,,,,,,,,,
,,Bürí,338.3,"5,719",16.9,,,,,,,,,,,,
,,Guariviara (5),395.4,"4,036",10.2,,,,,,,,,,,,
,,Man Creek (18),184.1,"6,594",35.8,,,,,,,,,,,,
,,Tuwai,257.4,"5,601",21.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Santa Catalina o Calovébora (29),,902.8,"10,714",11.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Santa Catalina o Calovébora,202.0,"3,083",15.3,,,,,,,,,,,,
,,Alto Bilingüe (29),65.2,"1,352",20.7,,,,,,,,,,,,
,,Loma Yuca,299.7,820,2.7,,,,,,,,,,,,
,,San Pedrito (29),144.3,"3,425",23.7,,,,,,,,,,,,
,,Valle Bonito,191.5,"2,034",10.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
